ServiceStationName,day_of_week,open_time,close_time
7 Express Carlton,Monday,07:00,23:00
7 Express Carlton,Tuesday,07:00,23:00
7 Express Carlton,Wednesday,07:00,23:00
7 Express Carlton,Thursday,07:00,23:00
7 Express Carlton,Friday,07:00,23:00
7 Express Carlton,Saturday,07:00,23:00
7 Express Carlton,Sunday,07:00,23:00
7- Eleven Towradgi,Monday,00:00,24:00
7- Eleven Towradgi,Tuesday,00:00,24:00
7- Eleven Towradgi,Wednesday,00:00,24:00
7- Eleven Towradgi,Thursday,00:00,24:00
7- Eleven Towradgi,Friday,00:00,24:00
7- Eleven Towradgi,Saturday,00:00,24:00
7- Eleven Towradgi,Sunday,00:00,24:00
7-Eleven Adamstown,Monday,00:00,24:00
7-Eleven Adamstown,Tuesday,00:00,24:00
7-Eleven Adamstown,Wednesday,00:00,24:00
7-Eleven Adamstown,Thursday,00:00,24:00
7-Eleven Adamstown,Friday,00:00,24:00
7-Eleven Adamstown,Saturday,00:00,24:00
7-Eleven Adamstown,Sunday,00:00,24:00
7-Eleven Albion Park Rail,Monday,00:00,24:00
7-Eleven Albion Park Rail,Tuesday,00:00,24:00
7-Eleven Albion Park Rail,Wednesday,00:00,24:00
7-Eleven Albion Park Rail,Thursday,00:00,24:00
7-Eleven Albion Park Rail,Friday,00:00,24:00
7-Eleven Albion Park Rail,Saturday,00:00,24:00
7-Eleven Albion Park Rail,Sunday,00:00,24:00
7-Eleven Ambarvale,Monday,00:00,24:00
7-Eleven Ambarvale,Tuesday,00:00,24:00
7-Eleven Ambarvale,Wednesday,00:00,24:00
7-Eleven Ambarvale,Thursday,00:00,24:00
7-Eleven Ambarvale,Friday,00:00,24:00
7-Eleven Ambarvale,Saturday,00:00,24:00
7-Eleven Ambarvale,Sunday,00:00,24:00
7-Eleven Argenton,Monday,00:00,24:00
7-Eleven Argenton,Tuesday,00:00,24:00
7-Eleven Argenton,Wednesday,00:00,24:00
7-Eleven Argenton,Thursday,00:00,24:00
7-Eleven Argenton,Friday,00:00,24:00
7-Eleven Argenton,Saturday,00:00,24:00
7-Eleven Argenton,Sunday,00:00,24:00
7-Eleven Arncliffe,Monday,00:00,24:00
7-Eleven Arncliffe,Tuesday,00:00,24:00
7-Eleven Arncliffe,Wednesday,00:00,24:00
7-Eleven Arncliffe,Thursday,00:00,24:00
7-Eleven Arncliffe,Friday,00:00,24:00
7-Eleven Arncliffe,Saturday,00:00,24:00
7-Eleven Arncliffe,Sunday,00:00,24:00
7-Eleven Arndell Park,Monday,00:00,24:00
7-Eleven Arndell Park,Tuesday,00:00,24:00
7-Eleven Arndell Park,Wednesday,00:00,24:00
7-Eleven Arndell Park,Thursday,00:00,24:00
7-Eleven Arndell Park,Friday,00:00,24:00
7-Eleven Arndell Park,Saturday,00:00,24:00
7-Eleven Arndell Park,Sunday,00:00,24:00
7-Eleven Artarmon,Monday,00:00,24:00
7-Eleven Artarmon,Tuesday,00:00,24:00
7-Eleven Artarmon,Wednesday,00:00,24:00
7-Eleven Artarmon,Thursday,00:00,24:00
7-Eleven Artarmon,Friday,00:00,24:00
7-Eleven Artarmon,Saturday,00:00,24:00
7-Eleven Artarmon,Sunday,00:00,24:00
7-Eleven Ashfield,Monday,00:00,24:00
7-Eleven Ashfield,Tuesday,00:00,24:00
7-Eleven Ashfield,Wednesday,00:00,24:00
7-Eleven Ashfield,Thursday,00:00,24:00
7-Eleven Ashfield,Friday,00:00,24:00
7-Eleven Ashfield,Saturday,00:00,24:00
7-Eleven Ashfield,Sunday,00:00,24:00
7-Eleven Bankstown,Monday,00:00,24:00
7-Eleven Bankstown,Tuesday,00:00,24:00
7-Eleven Bankstown,Wednesday,00:00,24:00
7-Eleven Bankstown,Thursday,00:00,24:00
